City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Atar,MR,2022-07-22 09:12:43,20.5169,-13.0499,87.22,45,34,1.39
251,San Patricio,US,2022-07-22 09:12:43,28.017,-97.5169,84.88,82,9,8.39
252,Ponta Do Sol,PT,2022-07-22 09:12:44,32.6667,-17.1,75.7,68,15,5.66
253,Kholodnyy,RU,2022-07-22 09:12:44,62.7167,147.95,64.8,57,65,3.38
254,Saint Anthony,US,2022-07-22 09:12:44,45.0205,-93.218,74.98,61,0,10.36
255,Hovd,MN,2022-07-22 09:12:44,48.0056,91.6419,78.71,26,100,10.65
256,Mahebourg,MU,2022-07-22 09:12:45,-20.4081,57.7,74.25,71,76,17.81
257,Souillac,MU,2022-07-22 09:12:45,-20.5167,57.5167,72.91,68,35,16.8
258,Kaitangata,NZ,2022-07-22 09:12:45,-46.2817,169.8464,41.94,87,82,5.37
259,Korcula,HR,2022-07-22 09:12:46,42.9622,17.1369,79.3,53,0,3.2
260,Sioux Lookout,CA,2022-07-22 09:12:46,50.1001,-91.917,55.26,98,60,5.7
261,Paso De Carrasco,UY,2022-07-22 09:12:46,-34.8603,-56.0522,50.95,87,0,8.77
262,Antibes,FR,2022-07-22 09:12:47,43.5624,7.1278,91.83,64,20,8.05
263,Otradnoye,RU,2022-07-22 09:12:47,59.7775,30.8181,83.03,41,76,4.09
264,Maltahohe,NA,2022-07-22 09:12:47,-24.8333,16.9833,65.48,27,0,8.23
265,Mbekenyera,TZ,2022-07-22 09:12:48,-10.0,38.9833,84.54,31,1,5.95
266,Tripoli,LY,2022-07-22 09:13:48,32.8752,13.1875,83.55,52,0,7.0
267,Gamboma,CG,2022-07-22 09:13:48,-1.8764,15.8644,86.23,48,32,5.23
268,Mykolayiv,UA,2022-07-22 09:13:49,46.9659,31.9974,82.04,32,0,14.0
269,Flinders,AU,2022-07-22 09:13:49,-34.5833,150.8552,60.39,82,69,8.01
270,Comodoro Rivadavia,AR,2022-07-22 09:13:49,-45.8667,-67.5,33.66,51,0,18.41
271,Barstow,US,2022-07-22 09:13:50,34.8986,-117.0228,88.79,22,21,8.43
272,Port Hardy,CA,2022-07-22 09:13:50,50.6996,-127.4199,52.86,93,2,7.09
273,Lincoln,US,2022-07-22 09:10:32,40.8,-96.667,76.12,66,0,8.05
274,Port-Gentil,GA,2022-07-22 09:13:51,-0.7193,8.7815,78.76,78,40,12.66
275,San Dionisio Del Mar,MX,2022-07-22 09:13:51,16.3333,-94.75,78.82,84,100,6.42
276,San Cristobal,VE,2022-07-22 09:10:01,7.7669,-72.225,62.53,91,99,3.29
277,Tapes,BR,2022-07-22 09:13:51,-30.6733,-51.3958,59.67,98,81,4.52
278,Bereda,ES,2022-07-22 09:13:52,43.2686,-7.5406,64.42,97,100,5.68
279,Cabo San Lucas,MX,2022-07-22 09:10:08,22.8909,-109.9124,85.6,74,0,13.8
280,Namibe,AO,2022-07-22 09:13:52,-15.1961,12.1522,67.91,71,12,4.72
281,Magadan,RU,2022-07-22 09:13:53,59.5667,150.8,69.53,76,73,2.82
282,Hay River,CA,2022-07-22 09:13:53,60.8156,-115.7999,49.12,92,78,3.8
283,Touros,BR,2022-07-22 09:13:53,-5.1989,-35.4608,71.96,92,97,9.71
284,Vengerovo,RU,2022-07-22 09:13:53,55.6848,76.7471,64.65,81,99,10.6
285,Massaguet,TD,2022-07-22 09:09:10,12.4755,15.4365,84.99,60,93,7.54
286,Nanga Eboko,CM,2022-07-22 09:13:54,4.6833,12.3667,72.25,85,100,3.65
287,Makokou,GA,2022-07-22 09:13:54,0.5738,12.8642,80.26,64,74,3.98
288,Christchurch,NZ,2022-07-22 09:12:12,-43.5333,172.6333,43.32,93,100,4.61
289,Mahibadhoo,MV,2022-07-22 09:13:55,3.7833,72.9667,82.11,74,100,13.04
290,Santa Maria,BR,2022-07-22 09:13:55,-29.6842,-53.8069,62.87,91,33,2.04
291,Yuxia,CN,2022-07-22 09:13:55,34.0615,108.6291,72.54,82,99,3.02
292,Raymond Terrace,AU,2022-07-22 09:13:56,-32.75,151.75,63.0,72,40,8.05
293,Nantucket,US,2022-07-22 09:09:47,41.2835,-70.0995,77.05,73,20,8.05
