City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Samarai,PG,-10.6167,150.6667,79.84,82,81,12.71,broken clouds
333,Itapetinga,BR,-15.2489,-40.2478,66.56,89,74,4.23,broken clouds
334,Kathu,TH,7.9178,98.3332,85.75,84,100,6.15,overcast clouds
335,College,US,64.8569,-147.8028,66.99,42,40,0.0,scattered clouds
336,Codrington,AU,-38.2667,141.9667,53.73,87,4,7.38,clear sky
337,The Pas,CA,53.8251,-101.2541,52.63,88,100,7.54,overcast clouds
338,Bintulu,MY,3.1667,113.0333,75.61,100,20,0.0,thunderstorm
339,Richards Bay,ZA,-28.783,32.0377,68.27,75,48,12.59,scattered clouds
340,Manta,EC,-0.95,-80.7333,74.98,78,75,9.22,broken clouds
341,Bobrov,RU,51.0961,40.0333,59.05,95,54,7.0,broken clouds
342,Geraldton,AU,-28.7667,114.6,48.61,81,40,5.75,scattered clouds
343,Bolgatanga,GH,10.7856,-0.8514,73.56,94,99,6.17,light rain
344,Sandviken,SE,60.6167,16.7667,57.56,78,100,3.49,overcast clouds
345,San Patricio,US,28.017,-97.5169,93.54,59,48,18.57,scattered clouds
346,Binga,ZW,-17.6203,27.3414,63.05,54,18,2.44,few clouds
347,Olafsvik,IS,64.8945,-23.7142,51.55,84,34,8.41,scattered clouds
348,Aswan,EG,24.0934,32.907,87.1,16,0,10.36,clear sky
349,Kushima,JP,31.4583,131.2333,83.46,63,71,3.09,broken clouds
350,Aasiaat,GL,68.7098,-52.8699,38.39,98,100,5.21,overcast clouds
351,Nakamura,JP,32.9833,132.9333,82.87,65,97,2.48,overcast clouds
352,Songea,TZ,-10.6833,35.65,55.02,74,6,0.43,clear sky
353,Santa Marta,CO,11.2408,-74.199,79.16,85,79,13.58,broken clouds
354,Pemangkat,ID,1.1667,108.9667,78.78,83,95,4.88,overcast clouds
355,Lyubinskiy,RU,55.1542,72.6925,56.88,93,100,8.12,overcast clouds
356,Senno,RU,59.5336,33.9167,63.27,98,78,4.27,broken clouds
357,Kampot,KH,10.6167,104.1833,77.05,85,89,3.04,overcast clouds
358,Mezhdurechensk,RU,53.6942,88.0603,55.13,97,54,3.27,broken clouds
359,Amazar,RU,53.858,120.875,73.63,58,8,4.92,clear sky
360,Zhigansk,RU,66.7697,123.3711,58.66,71,39,9.37,scattered clouds
361,Tala,EG,30.6803,30.9429,70.34,93,0,5.48,clear sky
362,Katobu,ID,-4.9408,122.5276,77.36,71,29,6.78,scattered clouds
